Amostragem;Ano;Mes;Grupo;Familia;Genero;Nome_cientifico;Especie;Engenho;Nome_engenho;Quantidade;Preco;Valor;Data_amostragem;Tipo_pesca;Regiao;Ilha;Nome_ilha;Concelho;Nome_concelho;Localidade;Nome_localidade;Tipo_embarcacao;Embarcacao;Nome_embarcacao;Porto_armamento;Nome_porto_armamento;Porto_desembarque;Nome_porto_desembarque;Numero_pescadores;Data_partida;Hora_partida;Data_chegada;Num_dias;Hora_chegada;Num_horas;Banco_pesca;Nome_banco_pesca;Profundidade_pesca_engenho1
98469;2024;11;DEMERSAIS                           ;PRIACANTHIDAE                       ;HETEROPRIACHANTHUS                  ;HETEROPRIACHANTHUS CRUENTATUS       ;FACOLA                              ;13;REDE DE CERCO                       ;500;184,31;92155;11/18/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;69;RINCOM                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;12;11/17/2024;05:00:00;11/18/2024;1;12:37:00;31;1740;BOA VISTA                           ;0
98469;2024;11;PEQUENOS PELAGICOS                  ;SPARIDAE                            ;SPICARA                             ;SPICARA MELANURUS                   ;DOBRADA                             ;13;REDE DE CERCO                       ;500;88,15;44075;11/18/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;69;RINCOM                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;12;11/17/2024;05:00:00;11/18/2024;1;12:37:00;31;1740;BOA VISTA                           ;0
98469;2024;11;DEMERSAIS                           ;SPARIDAE                            ;DIVERSOS                            ;DENTEX MACROPHTALMUS                ;CACHUCHO OU CAXUXO                  ;13;REDE DE CERCO                       ;200;200;40000;11/18/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;69;RINCOM                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;12;11/17/2024;05:00:00;11/18/2024;1;12:37:00;31;1740;BOA VISTA                           ;0
98469;2024;11;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;CARANX                              ;CARANX CRYSOS                       ;BONITO                              ;13;REDE DE CERCO                       ;200;140;28000;11/18/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;69;RINCOM                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;12;11/17/2024;05:00:00;11/18/2024;1;12:37:00;31;1740;BOA VISTA                           ;0
98469;2024;11;DEMERSAIS                           ;LABRIDAE                            ;BODIANUS                            ;Bodianus  sp.                       ;BEDJA                               ;13;REDE DE CERCO                       ;200;200;40000;11/18/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;69;RINCOM                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;12;11/17/2024;05:00:00;11/18/2024;1;12:37:00;31;1740;BOA VISTA                           ;0
98469;2024;11;DEMERSAIS                           ;ACANTHURIDAE                        ;ACANTHURUS                          ;ACANTHURUS MONROVIAE                ;BARBEIRO OU LANCETEIRO              ;13;REDE DE CERCO                       ;200;118,56;23712;11/18/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;69;RINCOM                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;12;11/17/2024;05:00:00;11/18/2024;1;12:37:00;31;1740;BOA VISTA                           ;0
98594;2024;11;TUNIDEOS                            ;SCOMBRIDAE                          ;AUXIS                               ;Auxis sp                            ;CACHORRINHA, JUDEU OU MELVA         ;13;REDE DE CERCO                       ;5000;77,77;388850;11/12/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;2881;CARLOS MARIA                        ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;18;11/11/2024;06:00:00;11/12/2024;1;11:47:00;29;1740;BOA VISTA                           ;0
99232;2024;11;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;SELAR                               ;SELAR CRUMENOPHTHALMUS              ;OLHO LARGO OU CHICHARRO             ;13;REDE DE CERCO                       ;3500;143,5;502250;11/5/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;62;MIMOSA                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;16;11/4/2024;06:00:00;11/5/2024;1;12:20:00;30;1740;BOA VISTA                           ;0
99231;2024;11;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;SELAR                               ;SELAR CRUMENOPHTHALMUS              ;OLHO LARGO OU CHICHARRO             ;13;REDE DE CERCO                       ;1000;143,5;143500;11/5/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;3599;GALILEIA                            ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;16;11/4/2024;08:00:00;11/5/2024;1;12:15:00;28;1718;MAIO                                ;0
99230;2024;11;DEMERSAIS                           ;LUTJANIDAE                          ;APSILUS                             ;APSILUS FUSCUS                      ;DOBRADAO OU FATCHO                  ;13;REDE DE CERCO                       ;1000;250,38;250380;11/5/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;33;MAYRA                               ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;11;11/4/2024;07:00:00;11/5/2024;1;10:50:00;27;1740;BOA VISTA                           ;0
99230;2024;11;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;CARANX                              ;CARANX CRYSOS                       ;BONITO                              ;13;REDE DE CERCO                       ;3000;140;420000;11/5/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;33;MAYRA                               ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;11;11/4/2024;07:00:00;11/5/2024;1;10:50:00;27;1740;BOA VISTA                           ;0
98588;2024;11;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;CARANX                              ;CARANX CRYSOS                       ;BONITO                              ;13;REDE DE CERCO                       ;2000;140;280000;11/9/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;3599;GALILEIA                            ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;6;11/8/2024;08:00:00;11/9/2024;1;12:43:00;28;1718;MAIO                                ;0
98601;2024;12;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;CARANX                              ;CARANX CRYSOS                       ;BONITO                              ;13;REDE DE CERCO                       ;1000;140;140000;12/10/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;46;MAR LINDA                           ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;14;12/9/2024;08:00:00;12/10/2024;1;12:13:00;28;1689;TXADONA                             ;0
98600;2024;12;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;CARANX                              ;CARANX CRYSOS                       ;BONITO                              ;13;REDE DE CERCO                       ;2500;140;350000;12/10/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;3599;GALILEIA                            ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;16;12/9/2024;08:00:00;12/10/2024;1;12:07:00;28;1718;MAIO                                ;0
98600;2024;12;TUNIDEOS                            ;SCOMBRIDAE                          ;AUXIS                               ;Auxis sp                            ;CACHORRINHA, JUDEU OU MELVA         ;13;REDE DE CERCO                       ;500;77,77;38885;12/10/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;3599;GALILEIA                            ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;16;12/9/2024;08:00:00;12/10/2024;1;12:07:00;28;1718;MAIO                                ;0
98599;2024;12;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;CARANX                              ;CARANX CRYSOS                       ;BONITO                              ;13;REDE DE CERCO                       ;500;140;70000;12/4/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;3599;GALILEIA                            ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;16;12/3/2024;06:00:00;12/4/2024;1;10:46:00;28;1718;MAIO                                ;0
98598;2024;11;PEQUENOS PELAGICOS                  ;SPARIDAE                            ;SPICARA                             ;SPICARA MELANURUS                   ;DOBRADA                             ;13;REDE DE CERCO                       ;1500;88,15;132225;11/18/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;62;MIMOSA                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;16;11/17/2024;06:00:00;11/18/2024;1;13:38:00;31;1718;MAIO                                ;0
98598;2024;11;DEMERSAIS                           ;ACANTHURIDAE                        ;ACANTHURUS                          ;ACANTHURUS MONROVIAE                ;BARBEIRO OU LANCETEIRO              ;13;REDE DE CERCO                       ;1500;118,56;177840;11/18/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;62;MIMOSA                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;16;11/17/2024;06:00:00;11/18/2024;1;13:38:00;31;1718;MAIO                                ;0
98597;2024;11;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;CARANX                              ;CARANX CRYSOS                       ;BONITO                              ;13;REDE DE CERCO                       ;4000;140;560000;11/14/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;33;MAYRA                               ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;11;11/13/2024;08:00:00;11/14/2024;1;12:49:00;28;1740;BOA VISTA                           ;0
98596;2024;11;TUNIDEOS                            ;SCOMBRIDAE                          ;THUNNUS                             ;THUNNUS ALBACARES                   ;ALBACORA OU ATUM                    ;3;LINHA A MAO                         ;400;309,2;123680;11/14/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;2875;VERA                                ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;9;11/13/2024;15:00:00;11/14/2024;1;10:29:00;19;1720;JOAO VALENTE                        ;0
98595;2024;11;TUNIDEOS                            ;SCOMBRIDAE                          ;THUNNUS                             ;THUNNUS ALBACARES                   ;ALBACORA OU ATUM                    ;3;LINHA A MAO                         ;300;309,2;92760;11/12/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;69;RINCOM                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;11;11/11/2024;06:00:00;11/12/2024;1;11:57:00;29;1720;JOAO VALENTE                        ;0
98593;2024;11;TUNIDEOS                            ;SCOMBRIDAE                          ;AUXIS                               ;Auxis sp                            ;CACHORRINHA, JUDEU OU MELVA         ;13;REDE DE CERCO                       ;500;77,77;38885;11/11/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;56;CALHAU                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;11;11/10/2024;17:00:00;11/11/2024;1;11:21:00;18;1718;MAIO                                ;0
98592;2024;11;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;CARANX                              ;CARANX CRYSOS                       ;BONITO                              ;13;REDE DE CERCO                       ;2500;140;350000;11/11/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;62;MIMOSA                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;16;11/10/2024;06:00:00;11/11/2024;1;11:17:00;29;1689;TXADONA                             ;0
98591;2024;11;TUNIDEOS                            ;SCOMBRIDAE                          ;AUXIS                               ;Auxis sp                            ;CACHORRINHA, JUDEU OU MELVA         ;13;REDE DE CERCO                       ;4000;77,77;311080;11/11/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;3035;PONTA CACIMBA                       ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;17;11/9/2024;13:00:00;11/11/2024;2;11:12:00;46;1847;SAL                                 ;0
98590;2024;11;TUNIDEOS                            ;SCOMBRIDAE                          ;THUNNUS                             ;THUNNUS ALBACARES                   ;ALBACORA OU ATUM                    ;3;LINHA A MAO                         ;400;309,2;123680;11/9/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;2887;FURNA                               ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;8;11/8/2024;06:00:00;11/9/2024;1;12:56:00;30;1740;BOA VISTA                           ;0
98589;2024;11;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;SELAR                               ;SELAR CRUMENOPHTHALMUS              ;OLHO LARGO OU CHICHARRO             ;13;REDE DE CERCO                       ;3000;143,5;430500;11/9/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;33;MAYRA                               ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;11;11/8/2024;08:00:00;11/9/2024;1;12:49:00;28;1740;BOA VISTA                           ;0
98587;2024;11;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;DECAPTERUS                          ;DECAPTERUS PUNCTATUS                ;CAVALA BRANCA                       ;13;REDE DE CERCO                       ;1000;149,04;149040;11/7/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;3291;MARLINDA                            ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;14;11/6/2024;08:00:00;11/7/2024;1;12:30:00;28;1740;BOA VISTA                           ;0
98587;2024;11;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;CARANX                              ;CARANX CRYSOS                       ;BONITO                              ;13;REDE DE CERCO                       ;350;140;49000;11/7/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;3291;MARLINDA                            ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;14;11/6/2024;08:00:00;11/7/2024;1;12:30:00;28;1740;BOA VISTA                           ;0
98586;2024;11;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;SELAR                               ;SELAR CRUMENOPHTHALMUS              ;OLHO LARGO OU CHICHARRO             ;13;REDE DE CERCO                       ;4000;143,5;574000;11/4/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;2881;CARLOS MARIA                        ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;18;11/3/2024;06:00:00;11/4/2024;1;11:16:00;29;1740;BOA VISTA                           ;0
98119;2024;6;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;CARANX                              ;CARANX CRYSOS                       ;BONITO                              ;13;REDE DE CERCO                       ;2000;138;276000;6/1/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;3599;GALILEIA                            ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;16;5/30/2024;10:00:00;6/1/2024;2;13:37:00;51;1718;MAIO                                ;0
98585;2024;10;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;SELAR                               ;SELAR CRUMENOPHTHALMUS              ;OLHO LARGO OU CHICHARRO             ;13;REDE DE CERCO                       ;3500;143,5;502250;10/9/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;33;MAYRA                               ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;11;10/8/2024;06:00:00;10/9/2024;1;11:51:00;29;1740;BOA VISTA                           ;0
98582;2024;10;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;CARANX                              ;CARANX CRYSOS                       ;BONITO                              ;13;REDE DE CERCO                       ;1500;140;210000;10/4/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;56;CALHAU                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;11;10/3/2024;06:00:00;10/4/2024;1;10:00:00;28;1718;MAIO                                ;0
98583;2024;10;DEMERSAIS                           ;CARANGIDAE                          ;SERIOLA                             ;SERIOLA RIVOLIANA                   ;ESMOREGAL PRETO                     ;13;REDE DE CERCO                       ;2000;388,27;776540;10/4/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;3407;TARRAFAL                            ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;18;10/3/2024;08:00:00;10/4/2024;1;14:16:00;30;1740;BOA VISTA                           ;0
98580;2024;10;DEMERSAIS                           ;CARANGIDAE                          ;SERIOLA                             ;SERIOLA SP                          ;ESMOREGAL OU SERZE                  ;13;REDE DE CERCO                       ;4000;322,24;1288960;10/3/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;3601;TANIXA                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;14;10/2/2024;18:00:00;10/3/2024;1;12:46:00;18;1763;BAIXA                               ;0
98581;2024;10;DEMERSAIS                           ;CARANGIDAE                          ;SERIOLA                             ;SERIOLA SP                          ;ESMOREGAL OU SERZE                  ;13;REDE DE CERCO                       ;3500;322,24;1127840;10/3/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;36;LU DI BALANTA                       ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;20;10/2/2024;08:00:00;10/3/2024;1;18:02:00;34;1740;BOA VISTA                           ;0
98581;2024;10;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;CARANX                              ;CARANX CRYSOS                       ;BONITO                              ;13;REDE DE CERCO                       ;100;140;14000;10/3/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;36;LU DI BALANTA                       ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;20;10/2/2024;08:00:00;10/3/2024;1;18:02:00;34;1740;BOA VISTA                           ;0
98579;2024;10;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;CARANX                              ;CARANX CRYSOS                       ;BONITO                              ;13;REDE DE CERCO                       ;3000;140;420000;10/2/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;3599;GALILEIA                            ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;16;10/1/2024;18:00:00;10/2/2024;1;12:34:00;18;1718;MAIO                                ;0
98578;2024;10;DEMERSAIS                           ;LUTJANIDAE                          ;APSILUS                             ;APSILUS FUSCUS                      ;DOBRADAO OU FATCHO                  ;13;REDE DE CERCO                       ;1000;250,38;250380;10/1/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;3599;GALILEIA                            ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;16;9/30/2024;08:00:00;10/1/2024;1;12:23:00;28;1718;MAIO                                ;0
98578;2024;10;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;CARANX                              ;CARANX CRYSOS                       ;BONITO                              ;13;REDE DE CERCO                       ;1000;140;140000;10/1/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;3599;GALILEIA                            ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;16;9/30/2024;08:00:00;10/1/2024;1;12:23:00;28;1718;MAIO                                ;0
98577;2024;12;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;DECAPTERUS                          ;DECAPTERUS PUNCTATUS                ;CAVALA BRANCA                       ;13;REDE DE CERCO                       ;500;149,04;74520;12/30/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;56;CALHAU                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;16;12/28/2024;07:00:00;12/30/2024;2;10:27:00;51;1718;MAIO                                ;0
98577;2024;12;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;DECAPTERUS                          ;DECAPTERUS MACARELLUS               ;CAVALA PRETA                        ;13;REDE DE CERCO                       ;500;165,78;82890;12/30/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;56;CALHAU                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;16;12/28/2024;07:00:00;12/30/2024;2;10:27:00;51;1718;MAIO                                ;0
